Value,Label,K2_count,Kepler_count
-3,"US-based Astronomy Institution, not in classification universe",189,669
-2,"Not classified, not in classification universe",1396,5723
1,Associate's Colleges: High Transfer-High Traditional,0,0
2,Associate's Colleges: High Transfer-Mixed Traditional/Nontraditional,0,0
3,Associate's Colleges: High Transfer-High Nontraditional,0,1
4,Associate's Colleges: Mixed Transfer/Career & Technical-High Traditional,0,2
5,Associate's Colleges: Mixed Transfer/Career & Technical-Mixed Traditional/Nontraditional,0,2
6,Associate's Colleges: Mixed Transfer/Career & Technical-High Nontraditional,0,0
7,Associate's Colleges: High Career & Technical-High Traditional,0,0
8,Associate's Colleges: High Career & Technical-Mixed Traditional/Nontraditional,0,0
9,Associate's Colleges: High Career & Technical-High Nontraditional,0,0
10,Special Focus Two-Year: Health Professions,0,0
11,Special Focus Two-Year: Technical Professions,0,0
12,Special Focus Two-Year: Arts & Design,0,0
13,Special Focus Two-Year: Other Fields,0,0
14,Baccalaureate/Associate's Colleges: Associate's Dominant,0,0
15,Doctoral Universities: Very High Research Activity,476,1404
16,Doctoral Universities: High Research Activity,19,149
17,Doctoral/Professional Universities,17,37
18,Master's Colleges & Universities: Larger Programs,6,32
19,Master's Colleges & Universities: Medium Programs,0,0
20,Master's Colleges & Universities: Small Programs,0,2
21,Baccalaureate Colleges: Arts & Sciences Focus,8,16
22,Baccalaureate Colleges: Diverse Fields,6,2
23,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,0,0
24,Special Focus Four-Year: Faith-Related Institutions,0,0
25,Special Focus Four-Year: Medical Schools & Centers,0,0
26,Special Focus Four-Year: Other Health Professions Schools,0,0
27,Special Focus Four-Year: Research Institution,0,0
28,Special Focus Four-Year: Engineering and Other Technology-Related Schools,0,0
29,Special Focus Four-Year: Business & Management Schools,0,0
30,"Special Focus Four-Year: Arts, Music & Design Schools",0,0
31,Special Focus Four-Year: Law Schools,0,0
32,Special Focus Four-Year: Other Special Focus Institutions,0,0
33,Tribal Colleges and Universities,0,0
